"","total","expected","hits","Raw p","Holm p","FDR"
"beta-Alanine metabolism",21,0.232,3,0.00132,0.105,0.105
"Glycine, serine and threonine metabolism",33,0.365,3,0.00498,0.393,0.16
"Fatty acid elongation",38,0.42,3,0.00744,0.58,0.16
"Fatty acid degradation",39,0.431,3,0.008,0.616,0.16
"Histidine metabolism",16,0.177,2,0.0126,0.957,0.201
"Pantothenate and CoA biosynthesis",20,0.221,2,0.0194,1,0.259
"Porphyrin metabolism",31,0.342,2,0.0443,1,0.496
"Cysteine and methionine metabolism",33,0.365,2,0.0496,1,0.496
"Arginine and proline metabolism",36,0.398,2,0.0581,1,0.516
"Thiamine metabolism",7,0.0773,1,0.0749,1,0.545
"Valine, leucine and isoleucine biosynthesis",8,0.0884,1,0.0852,1,0.545
"Taurine and hypotaurine metabolism",8,0.0884,1,0.0852,1,0.545
"Primary bile acid biosynthesis",46,0.508,2,0.0894,1,0.545
"One carbon pool by folate",9,0.0994,1,0.0954,1,0.545
"D-Amino acid metabolism",15,0.166,1,0.154,1,0.771
"Butanoate metabolism",15,0.166,1,0.154,1,0.771
"Ubiquinone and other terpenoid-quinone biosynthesis",18,0.199,1,0.182,1,0.857
"Propanoate metabolism",21,0.232,1,0.209,1,0.93
"Folate biosynthesis",26,0.287,1,0.253,1,1
"Alanine, aspartate and glutamate metabolism",28,0.309,1,0.269,1,1
"Glutathione metabolism",28,0.309,1,0.269,1,1
"Glyoxylate and dicarboxylate metabolism",31,0.342,1,0.294,1,1
"Sphingolipid metabolism",32,0.353,1,0.302,1,1
"Pyrimidine metabolism",39,0.431,1,0.355,1,1
